Time(s):	R.Med. Gastro(μV):	R.Tib.Ant.(μV):	R.Rectus Fem.(μV):	R.Biceps Fem.(μV):
0.072000	 5.834050	 136.089610	 2.537070	 18.841470	 
0.072500	 5.847220	 133.069310	 2.384680	 19.015980	 
0.073000	 5.852950	 131.441880	 2.349900	 19.194680	 
0.073500	 5.854790	 131.074330	 2.468800	 19.373660	 
0.074000	 5.857180	 131.738560	 2.714120	 19.551880	 
0.074500	 5.859910	 133.152470	 3.045000	 19.733270	 
0.075000	 5.860250	 135.031130	 3.446330	 19.926640	 
0.075500	 5.857180	 137.113040	 3.920050	 20.140030	 
0.076000	 5.852290	 139.154340	 4.454560	 20.372670	 
0.076500	 5.849340	 140.917210	 5.011380	 20.613490	 
0.077000	 5.853770	 142.166500	 5.537470	 20.848170	 
0.077500	 5.870880	 142.679610	 5.984330	 21.066830	 
0.078000	 5.900370	 142.301250	 6.323340	 21.265550	 
0.078500	 5.931600	 141.042010	 6.550750	 21.441860	 
0.079000	 5.953200	 139.124570	 6.681480	 21.590920	 
0.079500	 5.973920	 136.905750	 6.739570	 21.708250	 
0.080000	 6.022270	 134.731770	 6.750760	 21.794410	 
0.080500	 6.114540	 132.829480	 6.737400	 21.853240	 
0.081000	 6.231110	 131.294170	 6.715600	 21.885240	 
0.081500	 6.330990	 130.156190	 6.695680	 21.884100	 
0.082000	 6.381710	 129.428310	 6.684100	 21.839550	 
0.082500	 6.369270	 129.084400	 6.682320	 21.744060	 
0.083000	 6.291840	 129.050340	 6.686240	 21.598450	 
0.083500	 6.158110	 129.263980	 6.690200	 21.413520	 
0.084000	 5.993300	 129.730160	 6.690710	 21.205940	 
0.084500	 5.841920	 130.495710	 6.687280	 20.988350	 
0.085000	 5.753320	 131.572780	 6.681230	 20.760200	 
0.085500	 5.744680	 132.891510	 6.673760	 20.507600	 
0.086000	 5.783570	 134.323490	 6.665710	 20.213070	 
0.086500	 5.823720	 135.745330	 6.659160	 19.866840	 
0.087000	 5.839530	 137.080600	 6.657270	 19.468140	 
0.087500	 5.829030	 138.295320	 6.661110	 19.016640	 
0.088000	 5.813220	 139.371190	 6.669080	 18.505780	 
0.088500	 5.830520	 140.287090	 6.678860	 17.923510	 
0.089000	 5.905450	 141.018430	 6.689000	 17.258810	 
0.089500	 6.014040	 141.545210	 6.700560	 16.516690	 
0.090000	 6.100640	 141.858290	 6.718630	 15.735820	 
0.090500	 6.128870	 141.960310	 6.755090	 14.990280	 
0.091000	 6.108840	 141.860980	 6.829570	 14.365490	 
0.091500	 6.090160	 141.570100	 6.961970	 13.924960	 
0.092000	 6.131170	 141.092640	 7.158830	 13.688610	 
0.092500	 6.258700	 140.427050	 7.405100	 13.627660	 
0.093000	 6.450240	 139.566350	 7.667000	 13.680130	 
0.093500	 6.655360	 138.502350	 7.902990	 13.779770	 
0.094000	 6.829750	 137.231290	 8.077020	 13.877530	 
0.094500	 6.952330	 135.758410	 8.166860	 13.948480	 
0.095000	 7.024510	 134.100970	 8.162080	 13.987480	 
0.095500	 7.059690	 132.290080	 8.056340	 13.997910	 
0.096000	 7.072170	 130.370150	 7.845970	 13.984440	 
0.096500	 7.072060	 128.391650	 7.542150	 13.955490	 
0.097000	 7.064530	 126.398580	 7.183860	 13.926920	 
0.097500	 7.049860	 124.418610	 6.831790	 13.918530	 
0.098000	 7.022150	 122.459530	 6.551290	 13.946760	 
0.098500	 6.967680	 120.512840	 6.393000	 14.021520	 
0.099000	 6.867850	 118.567990	 6.362420	 14.144930	 
0.099500	 6.710990	 116.628460	 6.404340	 14.304770	 
0.100000	 6.504300	 114.714480	 6.442540	 14.471230	 
0.100500	 6.271490	 112.856840	 6.447730	 14.611200	 
0.101000	 6.042310	 111.092740	 6.457970	 14.708420	 
0.101500	 5.848790	 109.463260	 6.530320	 14.768150	 
0.102000	 5.724290	 108.011890	 6.686230	 14.807150	 
0.102500	 5.687620	 106.786510	 6.904850	 14.841780	 
0.103000	 5.720940	 105.839100	 7.146100	 14.881490	 
0.103500	 5.773990	 105.215190	 7.371520	 14.929010	 
0.104000	 5.792780	 104.945120	 7.557340	 14.984550	 
0.104500	 5.740470	 105.047890	 7.698240	 15.048100	 
0.105000	 5.605460	 105.538590	 7.802960	 15.117760	 
0.105500	 5.412370	 106.431770	 7.885880	 15.189470	 
0.106000	 5.219760	 107.739170	 7.959060	 15.260880	 
0.106500	 5.082460	 109.456370	 8.027350	 15.332210	 
0.107000	 5.022660	 111.541140	 8.087510	 15.401450	 
0.107500	 5.050370	 113.898680	 8.131450	 15.462180	 
0.108000	 5.177510	 116.388200	 8.152410	 15.507640	 
0.108500	 5.376440	 118.853840	 8.152390	 15.536850	 
0.109000	 5.553620	 121.164850	 8.144010	 15.556350	 
0.109500	 5.608290	 123.242250	 8.140990	 15.571510	 
0.110000	 5.529850	 125.058570	 8.144180	 15.572380	 
0.110500	 5.466830	 126.618640	 8.136880	 15.529510	 
0.111000	 5.672090	 127.941230	 8.092630	 15.407470	 
0.111500	 6.249730	 129.049550	 7.987430	 15.182250	 
0.112000	 7.010390	 129.966430	 7.812180	 14.849020	 
0.112500	 7.680020	 130.710560	 7.582150	 14.421930	 
0.113000	 8.111640	 131.293060	 7.335600	 13.928540	 
0.113500	 8.300150	 131.716190	 7.113670	 13.401830	 
0.114000	 8.313540	 131.975040	 6.929880	 12.874130	 
0.114500	 8.242140	 132.060290	 6.765280	 12.370390	 
0.115000	 8.179270	 131.961200	 6.600620	 11.900540	 
0.115500	 8.201310	 131.670290	 6.444440	 11.459440	 
0.116000	 8.330220	 131.188630	 6.325820	 11.035970	 
0.116500	 8.524450	 130.529270	 6.259780	 10.619780	 
0.117000	 8.717560	 129.718410	 6.227180	 10.198880	 
0.117500	 8.855130	 128.793790	 6.199720	 9.756210	 
0.118000	 8.915260	 127.801150	 6.163150	 9.273640	 
0.118500	 8.920830	 126.787700	 6.111050	 8.740230	 
0.119000	 8.925880	 125.790790	 6.047720	 8.159180	 
0.119500	 8.976590	 124.828320	 5.999900	 7.554760	 
0.120000	 9.082300	 123.898190	 5.998820	 6.975560	 
0.120500	 9.217570	 122.985570	 6.033350	 6.480070	 
0.121000	 9.344510	 122.073960	 6.040410	 6.106990	 
0.121500	 9.434300	 121.154110	 5.958480	 5.858040	 
0.122000	 9.473940	 120.222570	 5.771170	 5.706240	 
0.122500	 9.468480	 119.270120	 5.498800	 5.613190	 
0.123000	 9.442870	 118.275230	 5.177030	 5.540130	 
0.123500	 9.428730	 117.210720	 4.847870	 5.452240	 
0.124000	 9.445490	 116.049770	 4.549490	 5.320780	 
0.124500	 9.499270	 114.760310	 4.302110	 5.131640	 
0.125000	 9.591110	 113.296070	 4.101550	 4.899600	 
0.125500	 9.717490	 111.594830	 3.929570	 4.664230	 
0.126000	 9.866940	 109.586920	 3.775210	 4.460180	 
0.126500	 10.022290	 107.216850	 3.645770	 4.296440	 
0.127000	 10.165120	 104.475540	 3.556550	 4.164410	 
0.127500	 10.271850	 101.428380	 3.515900	 4.056080	 
0.128000	 10.311640	 98.221120	 3.521730	 3.975170	 
0.128500	 10.269200	 95.053390	 3.560380	 3.938110	 
0.129000	 10.179960	 92.127080	 3.604030	 3.967050	 
0.129500	 10.126480	 89.593360	 3.623120	 4.077070	 
0.130000	 10.168320	 87.527020	 3.609340	 4.265940	 
0.130500	 10.259490	 85.935210	 3.581720	 4.519950	 
0.131000	 10.256560	 84.781730	 3.570230	 4.825560	 
0.131500	 10.031820	 84.008670	 3.595390	 5.165510	 
0.132000	 9.583210	 83.549350	 3.652430	 5.507360	 
0.132500	 9.037580	 83.334260	 3.701540	 5.811740	 
0.133000	 8.554460	 83.296620	 3.681620	 6.059330	 
0.133500	 8.231450	 83.379360	 3.555260	 6.260760	 
0.134000	 8.079200	 83.541720	 3.350460	 6.438900	 
0.134500	 8.045390	 83.762090	 3.149360	 6.608840	 
0.135000	 8.044500	 84.029360	 3.024600	 6.770660	 
0.135500	 7.990770	 84.324460	 2.986340	 6.913410	 
