NO_OF_FRAMES	149
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:16:24	790.93115550
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
13747	137.46000	384.187	358.715	1752.265	497.439	150.178	1452.616	484.553	62.188	1099.494	336.530	127.649	878.203	511.019	517.064	1446.289	605.970	600.048	1093.112	497.679	588.111	850.518	543.611	155.800	908.130	600.752	179.518	493.811	886.608	225.564	128.738	951.475	271.622	129.878	817.443	226.289	25.515	722.876	268.422	18.635	512.303	505.971	898.093	335.899	455.424	510.155	279.966	416.712	63.972	331.246	364.744	23.146	165.539	434.720	23.882	67.347	397.234	32.358
13748	137.47000	372.935	361.739	1754.401	486.012	152.200	1456.194	476.583	64.374	1102.489	330.315	128.104	879.260	498.756	519.067	1447.981	593.600	601.226	1094.842	485.242	588.498	852.427	530.172	157.015	909.071	580.323	176.269	494.176	877.027	224.184	136.908	939.145	272.496	143.480	816.282	226.145	27.665	723.804	268.142	18.604	500.890	506.757	900.766	327.245	456.455	511.575	279.700	416.547	63.917	331.103	365.122	23.209	165.296	434.768	23.877	66.550	395.652	29.464
13749	137.48000	361.532	364.835	1756.364	474.159	154.166	1459.295	468.038	66.435	1105.672	324.516	128.614	880.389	486.401	520.988	1450.104	581.456	602.815	1096.760	472.504	589.056	854.224	516.608	157.909	909.943	559.024	172.906	494.502	865.726	222.687	146.164	925.734	272.839	157.917	814.085	226.044	30.787	725.531	268.199	18.863	490.211	507.542	903.046	318.994	457.036	512.597	278.892	415.956	63.917	330.742	365.051	23.637	164.881	434.430	24.078	65.887	391.386	27.946
13750	137.49000	350.001	367.694	1758.156	462.586	156.058	1462.326	460.540	68.440	1108.291	319.198	129.247	881.105	474.043	522.979	1451.632	569.425	604.012	1098.290	459.940	589.304	856.247	503.444	159.090	910.540	537.970	170.026	494.511	852.844	221.692	155.075	911.696	271.763	171.671	810.125	225.429	35.593	724.162	267.646	18.459	479.461	508.653	905.332	311.938	457.718	513.009	277.976	415.639	64.345	330.634	365.204	24.069	164.683	434.768	23.952	65.148	390.843	24.816
13751	137.50000	338.953	370.297	1759.554	451.186	158.169	1465.168	452.760	69.809	1111.434	313.418	129.574	882.335	461.584	524.779	1453.171	556.839	605.835	1100.063	447.023	589.798	858.062	491.041	160.043	910.961	516.958	167.635	494.012	839.130	220.887	164.576	897.097	270.761	185.676	803.568	224.179	42.298	720.919	266.836	17.863	468.631	509.744	907.738	305.881	458.369	513.354	277.348	415.335	64.057	331.015	365.400	24.412	164.495	435.325	23.516	65.080	393.721	22.772
13752	137.51000	328.121	373.208	1761.074	440.075	160.220	1467.682	445.393	71.228	1114.068	307.309	130.093	883.444	449.090	526.458	1454.044	544.645	607.426	1100.899	433.880	590.053	859.618	479.170	160.961	910.901	495.063	166.016	493.677	825.039	219.814	174.990	881.323	269.329	199.246	796.492	223.406	49.615	717.038	265.560	17.257	458.609	510.410	909.141	299.643	459.128	513.701	277.045	415.185	63.980	331.027	365.143	24.303	164.356	435.415	23.436	65.296	392.735	22.647
13753	137.52000	316.918	375.609	1762.475	428.993	161.765	1469.815	438.078	72.267	1116.142	301.092	130.238	884.716	436.911	527.917	1455.117	532.422	609.464	1102.543	420.488	590.616	861.259	467.800	162.077	909.937	472.703	164.864	492.735	809.299	218.875	185.373	863.964	268.158	213.509	787.122	222.363	59.434	713.502	264.479	16.245	447.864	511.751	911.327	293.800	459.740	513.779	277.034	415.062	64.111	331.020	365.156	24.106	164.174	435.601	23.443	64.917	391.270	22.221
13754	137.53000	306.198	378.156	1763.957	417.733	163.109	1471.583	430.602	72.981	1118.282	295.601	130.607	885.300	424.704	529.575	1456.186	519.871	611.524	1103.183	407.115	591.251	862.615	456.643	163.003	908.769	449.807	163.932	492.346	792.668	218.167	195.784	845.722	267.424	226.976	778.952	219.580	68.105	710.480	264.059	14.887	436.854	513.370	913.615	288.537	460.496	513.916	276.780	414.912	64.427	331.018	365.108	24.229	164.176	435.882	23.205	64.846	391.887	22.222
13755	137.54000	295.904	380.560	1765.046	407.231	164.409	1473.065	422.894	73.748	1120.082	289.788	130.643	886.093	412.692	530.909	1456.870	506.924	613.488	1103.604	393.457	591.922	864.121	446.946	164.032	908.633	426.666	163.250	492.144	774.528	217.217	205.317	824.727	267.581	239.565	768.037	217.995	78.368	707.745	263.556	13.752	426.874	514.493	915.129	283.430	461.358	513.707	276.789	414.888	64.224	331.143	365.142	24.224	164.159	436.079	23.166	64.717	391.569	22.094
13756	137.55000	285.331	383.029	1766.077	396.684	165.351	1474.367	415.155	74.176	1121.512	283.866	130.677	886.780	400.828	532.084	1457.335	494.014	615.725	1104.652	379.668	592.456	865.259	436.941	165.138	908.612	403.019	162.544	492.902	754.876	216.734	213.607	803.142	268.035	250.529	755.951	216.169	87.212	706.031	261.290	12.103	416.688	515.686	917.058	278.854	462.219	513.612	276.753	414.721	64.356	331.122	365.382	24.445	164.096	436.225	23.033	64.710	391.516	21.971
