NO_OF_FRAMES	303
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:44:55	2502.10000300
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
187	1.86000	1141.039	332.403	444.239	881.485	524.323	606.355	847.114	573.536	288.907	903.868	484.692	32.112	869.954	194.988	604.126	857.989	110.495	298.176	910.654	204.844	52.977	329.725	556.259	498.519	-64.233	557.178	346.914	-515.959	562.838	211.525	-572.637	517.900	249.828	-525.168	558.166	85.673	-464.581	532.736	23.698	313.538	207.159	568.251	-47.791	191.309	326.873	-482.208	177.629	165.132	-548.793	221.343	182.699	-462.871	176.909	39.002	-393.299	229.033	23.527
188	1.87000	1140.505	333.521	445.219	881.368	524.551	606.739	847.398	573.618	288.944	903.982	484.738	32.143	869.290	195.521	604.688	858.188	110.803	298.623	910.928	204.940	53.417	328.869	557.414	499.690	-65.502	559.309	348.977	-517.518	565.862	214.716	-571.961	520.366	255.344	-532.067	559.707	89.217	-474.332	534.736	24.006	312.585	208.318	569.193	-48.540	192.339	327.493	-482.722	177.889	164.937	-549.174	221.623	182.399	-463.107	177.078	38.955	-393.374	229.063	23.509
189	1.88000	1139.979	334.637	446.468	881.466	524.656	607.009	847.670	574.049	288.991	903.897	484.743	32.220	868.803	196.023	605.436	858.298	111.072	299.314	911.078	205.134	54.011	327.704	558.584	501.019	-66.840	561.071	351.447	-518.918	568.840	218.912	-571.655	523.104	261.288	-538.409	561.677	92.372	-484.986	536.465	24.788	311.844	209.505	570.006	-49.247	193.140	328.066	-482.943	178.218	164.930	-549.747	221.922	182.236	-463.384	177.165	38.933	-393.561	229.083	23.587
190	1.89000	1139.664	335.718	447.991	881.500	524.892	607.136	847.807	574.602	288.987	904.009	484.785	32.276	868.169	196.788	606.063	858.174	111.080	300.284	912.566	205.040	55.166	326.785	559.763	502.246	-68.294	563.224	354.150	-520.745	571.823	223.062	-570.974	525.400	267.699	-545.475	563.575	97.578	-495.667	538.241	26.233	311.003	210.696	570.673	-49.879	194.081	328.603	-483.555	178.488	164.992	-550.279	222.248	181.915	-463.603	177.332	38.774	-393.612	229.071	23.509
191	1.90000	1139.400	336.551	449.218	881.603	525.308	607.229	847.946	575.230	288.987	903.749	484.969	32.442	867.586	197.485	606.883	858.796	110.431	301.640	916.585	205.121	57.452	325.853	560.929	503.607	-69.580	565.503	356.977	-522.352	574.914	227.907	-570.026	527.798	274.012	-552.197	565.254	102.495	-506.016	539.556	28.801	310.318	211.751	571.251	-50.557	195.012	329.125	-484.025	178.688	164.967	-550.771	222.452	181.638	-463.787	177.413	38.723	-393.680	229.130	23.545
192	1.91000	1138.943	337.447	450.866	881.740	525.678	607.269	848.006	575.920	288.851	903.743	485.098	32.564	867.273	198.106	608.017	860.544	109.589	303.202	919.752	205.403	59.706	325.271	562.179	504.867	-70.871	567.870	359.587	-524.419	577.756	233.734	-569.861	530.230	281.061	-558.824	567.005	108.633	-516.163	541.034	32.378	309.224	212.961	571.992	-51.122	195.672	329.717	-484.321	178.852	164.877	-551.200	222.574	181.480	-463.939	177.340	38.686	-393.745	229.104	23.610
193	1.92000	1138.500	338.094	452.490	881.525	526.210	607.274	848.468	576.753	288.989	903.613	485.289	32.675	867.159	198.903	609.417	862.363	108.710	305.459	923.252	205.229	62.583	324.647	563.570	506.043	-72.129	569.990	362.548	-526.128	580.551	239.525	-569.719	532.582	288.531	-564.861	568.906	115.583	-526.125	542.281	36.967	308.167	214.380	572.634	-51.458	196.579	330.156	-484.693	179.014	164.862	-551.608	222.771	181.306	-464.109	177.294	38.796	-393.802	229.119	23.617
194	1.93000	1137.897	338.802	454.085	881.473	526.928	607.602	848.940	577.366	289.125	903.537	485.380	32.670	866.938	200.061	611.159	863.988	107.662	307.699	928.643	204.882	66.150	324.205	564.733	507.163	-73.325	572.383	365.635	-528.502	583.277	246.453	-569.671	534.899	296.017	-571.184	570.557	122.968	-535.533	543.360	42.295	307.373	215.837	573.436	-51.939	197.292	330.566	-484.916	179.143	164.901	-551.880	222.798	181.141	-464.234	177.313	38.708	-393.893	229.208	23.658
195	1.94000	1137.420	339.206	455.566	881.227	527.803	607.828	849.468	577.753	289.168	903.502	485.421	32.798	866.948	201.702	613.159	866.409	106.447	310.239	934.874	204.800	70.025	323.664	566.077	508.373	-74.376	574.484	368.810	-530.653	585.991	253.418	-570.368	537.199	303.540	-576.739	572.331	130.862	-544.280	544.706	48.285	306.718	217.238	573.937	-52.262	198.200	330.905	-485.035	179.171	164.856	-551.983	222.896	180.964	-464.244	177.351	38.783	-393.861	229.187	23.638
196	1.95000	1136.842	339.327	456.926	881.329	528.715	608.372	850.027	578.040	289.262	903.579	485.442	32.894	867.302	203.428	615.660	869.867	104.926	313.336	942.432	204.641	75.194	322.970	567.433	509.747	-75.573	576.410	371.944	-532.725	588.826	260.764	-571.081	539.629	311.723	-582.074	574.645	138.858	-552.364	546.083	55.637	305.818	218.533	574.884	-52.392	199.234	331.191	-485.076	179.254	164.923	-552.218	222.937	181.042	-464.114	177.469	38.688	-393.795	229.117	23.620
