NO_OF_FRAMES	129
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-09-18, 15:15:04	710.78465524
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
145	1.44000	342.371	299.962	1814.107	317.746	511.493	1488.527	300.730	562.889	1127.343	434.948	627.283	908.375	327.436	138.939	1490.034	288.522	65.845	1124.296	406.860	-3.130	905.820	331.213	493.295	932.162	315.664	470.176	512.597	281.405	439.589	64.484	223.117	404.263	22.729	396.623	455.548	26.740	492.161	415.321	19.196	321.997	142.664	933.881	325.944	174.407	513.050	286.471	201.743	67.679	235.917	251.182	22.681	399.789	167.539	23.277	499.244	204.643	20.014
146	1.45000	342.402	300.060	1814.021	317.810	511.537	1488.480	300.830	562.835	1127.221	435.016	627.398	908.438	327.376	139.024	1489.996	288.338	65.822	1124.355	406.794	-3.160	905.846	331.233	493.305	932.201	315.845	470.376	512.664	281.437	439.578	64.446	223.135	404.225	22.674	396.595	455.603	26.812	492.179	415.269	19.094	321.972	142.701	933.905	326.071	174.384	512.954	286.595	201.586	67.691	235.977	251.115	22.769	399.790	167.527	23.249	499.230	204.691	19.965
147	1.46000	342.342	300.168	1813.979	317.747	511.616	1488.441	300.906	562.880	1127.277	435.065	627.375	908.396	327.378	139.029	1490.029	288.268	65.852	1124.368	406.592	-3.149	905.868	331.217	493.232	932.266	315.668	470.256	512.634	281.366	439.574	64.543	223.067	404.217	22.795	396.681	455.459	26.734	492.328	415.112	19.143	321.947	142.731	933.871	325.873	174.416	513.007	286.565	201.666	67.570	235.987	251.083	22.611	399.816	167.527	23.242	499.216	204.625	20.004
148	1.47000	342.364	300.239	1814.050	317.814	511.675	1488.391	300.811	562.929	1127.200	435.019	627.377	908.320	327.337	139.051	1490.025	288.380	65.919	1124.321	406.555	-3.211	905.892	331.243	493.375	932.216	315.940	470.366	512.614	281.415	439.548	64.463	223.111	404.148	22.757	396.825	455.456	26.815	492.128	415.301	19.179	321.902	142.760	933.836	325.973	174.414	513.001	286.347	201.778	67.828	235.936	251.159	22.723	399.760	167.522	23.290	499.225	204.705	19.960
149	1.48000	342.404	300.276	1813.946	317.762	511.703	1488.411	300.867	562.898	1127.225	434.972	627.399	908.365	327.252	139.101	1490.082	288.251	65.877	1124.335	406.427	-3.268	905.911	331.278	493.372	932.148	315.890	470.470	512.686	281.412	439.543	64.433	223.070	404.232	22.708	396.635	455.587	26.701	492.087	415.282	19.147	321.975	142.736	933.816	325.926	174.400	513.137	286.612	201.613	67.536	235.908	251.098	22.621	399.780	167.533	23.259	499.198	204.635	20.033
150	1.49000	342.407	300.277	1814.136	317.822	511.732	1488.402	300.852	562.933	1127.185	434.976	627.439	908.360	327.223	139.190	1490.079	288.203	65.897	1124.405	406.341	-3.307	905.935	331.264	493.332	932.204	315.884	470.389	512.592	281.412	439.617	64.467	223.124	404.244	22.669	396.795	455.673	26.826	492.130	415.206	19.126	322.038	142.715	933.890	325.979	174.422	513.074	286.421	201.772	67.814	236.009	251.160	22.690	399.769	167.555	23.301	499.274	204.628	20.006
151	1.50000	342.419	300.359	1813.980	317.844	511.747	1488.373	300.754	563.079	1127.233	435.093	627.343	908.305	327.287	139.197	1490.078	288.146	65.919	1124.396	406.304	-3.345	905.922	331.211	493.396	932.167	315.868	470.311	512.527	281.335	439.563	64.509	223.042	404.158	22.797	396.635	455.603	26.802	492.137	415.188	19.132	322.005	142.665	933.860	326.060	174.449	512.957	286.639	201.553	67.590	235.920	251.133	22.810	399.728	167.545	23.240	499.188	204.648	20.004
152	1.51000	342.541	300.447	1814.037	317.826	511.785	1488.359	300.844	563.058	1127.168	435.122	627.353	908.255	327.225	139.267	1490.008	288.167	66.000	1124.391	406.133	-3.354	905.928	331.283	493.448	932.123	315.696	470.192	512.575	281.291	439.640	64.538	223.112	404.173	22.751	396.577	455.584	26.802	492.153	415.322	19.163	321.849	142.734	933.931	325.979	174.391	512.997	286.479	201.737	67.704	235.888	251.127	22.742	399.817	167.512	23.252	499.224	204.703	20.012
153	1.52000	342.482	300.502	1814.027	318.016	511.930	1488.335	300.819	563.088	1127.246	435.153	627.309	908.199	327.148	139.269	1490.133	288.011	65.956	1124.484	406.207	-3.387	905.942	331.239	493.440	932.216	315.779	470.241	512.500	281.488	439.642	64.493	223.121	404.203	22.674	396.750	455.501	26.788	492.148	415.255	19.110	321.879	142.782	933.793	325.975	174.453	512.953	286.433	201.648	67.577	235.950	251.096	22.724	399.746	167.516	23.273	499.195	204.626	19.942
154	1.53000	342.336	300.541	1813.868	317.961	511.895	1488.374	301.001	563.041	1127.169	435.197	627.329	908.248	327.134	139.411	1490.113	287.735	66.098	1124.597	406.134	-3.361	905.944	331.282	493.383	932.231	315.843	470.340	512.576	281.379	439.538	64.436	223.133	404.182	22.724	396.598	455.513	26.808	492.138	415.263	19.062	321.893	142.798	933.841	325.889	174.463	512.990	286.524	201.703	67.733	235.902	251.106	22.675	399.812	167.549	23.246	499.221	204.627	20.014
